amfi_code,Alpha,Beta,scheme_name
100016,0.035008020122776796,0.004843355020744266,HDFC Top 100 Fund - Regular Plan - Growth
100025,0.04333049544115674,-0.003422176726339636,HDFC Short Term Debt Fund - Regular - Growth
100033,0.26875229141391044,0.02409659525974331,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,0.21465600456186984,-6.730818908691826e-05,ABSL Frontline Equity Fund - Regular - Growth
101207,0.11024955018619279,-0.023588228858982995,ABSL Small Cap Fund - Regular - Growth
101208,0.06085212112251844,0.0001258750471630133,ABSL Liquid Fund - Regular - Growth
102885,0.17094095164685527,-0.007555188223630716,UTI Nifty 50 Index Fund - Regular - Growth
102886,0.03194911544827528,-0.030680122817594857,UTI Mid Cap Fund - Regular - Growth
102887,0.1610625156811786,0.011217405044515629,UTI Flexi Cap Fund - Regular - Growth
118632,0.2157852505239689,0.01615659515806825,Nippon India Large Cap Fund - Regular - Growth
118633,0.15755299358545502,-0.016086486639146486,Nippon India Large Cap Fund - Direct - Growth
118634,0.17568123177332165,0.018012351442899706,Nippon India Small Cap Fund - Regular - Growth
118635,0.15065271641931977,0.004783934691773851,Nippon India ETF Nifty 50 BeES
118636,0.051060743722708336,-0.00196853098047875,Nippon India Gilt Securities Fund - Regular - Growth
119092,0.06701143712338226,0.01638299245528617,Axis Bluechip Fund - Regular - Growth
119093,0.08091817265695568,0.015830155014591212,Axis Bluechip Fund - Direct - Growth
119094,0.2627316899588547,-0.02872862296112555,Axis Midcap Fund - Regular - Growth
119095,0.04875277581131941,-0.020067492788233506,Axis Small Cap Fund - Regular - Growth
119120,0.05606050670324881,-0.00035082554474262544,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,0.23454374664870617,-0.025189498642974654,SBI Bluechip Fund - Regular Plan - Growth
119552,0.20047597382446736,-0.01861871945625363,SBI Bluechip Fund - Direct Plan - Growth
119598,0.303144867465332,-0.003508009372752373,SBI Small Cap Fund - Regular Plan - Growth
119599,0.049328065524053666,0.010072663601756604,SBI Small Cap Fund - Direct Plan - Growth
120503,0.1755417235928387,0.0018104631368765281,ICICI Pru Bluechip Fund - Regular - Growth
120504,0.21609064980413414,-0.026139233988137535,ICICI Pru Bluechip Fund - Direct - Growth
120505,0.29508521272984833,-0.01745379302502902,ICICI Pru Midcap Fund - Regular - Growth
120506,0.1600230125795732,0.027298914610087557,ICICI Pru Value Discovery Fund - Regular - Growth
120507,0.06751273831066396,-0.00046135564097556954,ICICI Pru Liquid Fund - Regular - Growth
120841,0.13270798966179026,-0.008324367260956677,Kotak Bluechip Fund - Regular - Growth
120842,0.080481558797897,-0.01350103494777853,Kotak Emerging Equity Fund - Regular - Growth
120843,0.27321125754709386,-0.004369886433639484,Kotak Flexicap Fund - Regular - Growth
