amfi_code,CAGR,CAGR (%),scheme_name_x,scheme_name_y
100016,0.026352458116335464,2.6352458116335464,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Top 100 Fund - Regular Plan - Growth
100025,0.04455091155784441,4.455091155784441,HDFC Short Term Debt Fund - Regular - Growth,HDFC Short Term Debt Fund - Regular - Growth
100033,0.30099703552874524,30.099703552874523,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,0.23520488754230384,23.520488754230385,ABSL Frontline Equity Fund - Regular - Growth,ABSL Frontline Equity Fund - Regular - Growth
101207,0.07933120999915699,7.933120999915699,ABSL Small Cap Fund - Regular - Growth,ABSL Small Cap Fund - Regular - Growth
101208,0.06504429821332125,6.504429821332125,ABSL Liquid Fund - Regular - Growth,ABSL Liquid Fund - Regular - Growth
102885,0.18218826089343754,18.218826089343754,UTI Nifty 50 Index Fund - Regular - Growth,UTI Nifty 50 Index Fund - Regular - Growth
102886,0.0117093879842316,1.17093879842316,UTI Mid Cap Fund - Regular - Growth,UTI Mid Cap Fund - Regular - Growth
102887,0.16828673461948984,16.828673461948984,UTI Flexi Cap Fund - Regular - Growth,UTI Flexi Cap Fund - Regular - Growth
118632,0.2403119561352478,24.03119561352478,Nippon India Large Cap Fund - Regular - Growth,Nippon India Large Cap Fund - Regular - Growth
118633,0.16262218000296524,16.262218000296524,Nippon India Large Cap Fund - Direct - Growth,Nippon India Large Cap Fund - Direct - Growth
118634,0.16361396476593382,16.36139647659338,Nippon India Small Cap Fund - Regular - Growth,Nippon India Small Cap Fund - Regular - Growth
118635,0.15945481185082522,15.94548118508252,Nippon India ETF Nifty 50 BeES,Nippon India ETF Nifty 50 BeES
118636,0.053131554027608274,5.313155402760827,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India Gilt Securities Fund - Regular - Growth
119092,0.0636349475771898,6.363494757718979,Axis Bluechip Fund - Regular - Growth,Axis Bluechip Fund - Regular - Growth
119093,0.07891944369437343,7.891944369437343,Axis Bluechip Fund - Direct - Growth,Axis Bluechip Fund - Direct - Growth
119094,0.28192608222062465,28.192608222062464,Axis Midcap Fund - Regular - Growth,Axis Midcap Fund - Regular - Growth
119095,0.015204552427132478,1.5204552427132478,Axis Small Cap Fund - Regular - Growth,Axis Small Cap Fund - Regular - Growth
119120,0.05885271270380055,5.885271270380055,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,0.2578492084946409,25.784920849464086,SBI Bluechip Fund - Regular Plan - Growth,SBI Bluechip Fund - Regular Plan - Growth
119552,0.21508021785499332,21.50802178549933,SBI Bluechip Fund - Direct Plan - Growth,SBI Bluechip Fund - Direct Plan - Growth
119598,0.3239808398464554,32.398083984645545,SBI Small Cap Fund - Regular Plan - Growth,SBI Small Cap Fund - Regular Plan - Growth
119599,0.02053064146209893,2.053064146209893,SBI Small Cap Fund - Direct Plan - Growth,SBI Small Cap Fund - Direct Plan - Growth
120503,0.18771330105513617,18.771330105513616,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Pru Bluechip Fund - Regular - Growth
120504,0.2327744753273051,23.277447532730513,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Pru Bluechip Fund - Direct - Growth
120505,0.3280159948038617,32.801599480386166,ICICI Pru Midcap Fund - Regular - Growth,ICICI Pru Midcap Fund - Regular - Growth
120506,0.17072227512921923,17.072227512921923,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Pru Value Discovery Fund - Regular - Growth
120507,0.0723241093234459,7.232410932344591,ICICI Pru Liquid Fund - Regular - Growth,ICICI Pru Liquid Fund - Regular - Growth
120841,0.13522349085511554,13.522349085511554,Kotak Bluechip Fund - Regular - Growth,Kotak Bluechip Fund - Regular - Growth
120842,0.06696806255006482,6.696806255006482,Kotak Emerging Equity Fund - Regular - Growth,Kotak Emerging Equity Fund - Regular - Growth
120843,0.30883325525154603,30.883325525154603,Kotak Flexicap Fund - Regular - Growth,Kotak Flexicap Fund - Regular - Growth
120844,0.0691037983940288,6.91037983940288,Kotak Liquid Fund - Regular - Growth,Kotak Liquid Fund - Regular - Growth
125497,0.19003613208378556,19.003613208378557,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Top 100 Fund - Direct Plan - Growth
125498,0.11293660210400969,11.293660210400969,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,0.30949920362874206,30.949920362874206,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset Large Cap Fund - Regular - Growth
148568,0.22499840384352243,22.499840384352243,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,0.31924485848158723,31.924485848158724,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset Tax Saver Fund - Regular - Growth
149322,0.13383520958789363,13.383520958789363,DSP Top 100 Equity Fund - Regular - Growth,DSP Top 100 Equity Fund - Regular - Growth
149323,0.29558105232568344,29.558105232568344,DSP Midcap Fund - Regular - Growth,DSP Midcap Fund - Regular - Growth
149324,0.3226210752841656,32.262107528416564,DSP Small Cap Fund - Regular - Growth,DSP Small Cap Fund - Regular - Growth
